reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A1L7M2JXN4EZCR,B000068NW5,David G,"[0, 0]","It hums, crackles, and I think I'm having problems with my equipment.  As soon as I use any of my other cords then the problem is gone.  Hosa makes some other products that have good value.  But based on my experience I don't recommend this one.",1,I have bought many cables and this one is the only one that gives me problems,1391904000,"02 9, 2014"
A3UD50M7M72150,B000068NW5,synthezatory,"[0, 0]","I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",1,Crap,1394755200,"03 14, 2014"
A3AOB0VF6H0IF4,B000165DSM,Daits,"[0, 0]","Received it in time, standard blister packaging but the cable stopped working after 45 days. Since I was out of 30 days return time, sent an email to the manufacturer but no response till today.",1,DIED after 45 days of use,1359244800,"01 27, 2013"
A27DR1VO079F1V,B000165DSM,Dan Edman,"[0, 0]","These things are terrible. One wouldn't fit in my soundboard, another wouldn't lock in my mic. Plain and simple....if your looking for crap that doesn't work....buy this.",1,Crap,1392768000,"02 19, 2014"
A2B58VXLLOFQKR,B0002CZV82,James Moulton,"[2, 30]","This is a cheap piece of junk that does what it says, it distorts, You want something to make your guitar sound like junk, this will do it. Why pedals that make your guitar sound like a piece of junk are the most popular is beyond me. This is not a boutique Distortion pedal like Hendrix would use. Boutique and distortion are an oxymoron.These things are built with heavy metal, it should last, I kinda hope it doesn't(just kidding), you want distortion, you got distortion",1,It distorts,1258070400,"11 13, 2009"
A3KBFCPNQ58YK4,B0002CZV82,Sam,"[1, 4]","Here's the deal with this pedal. It is inexpensive and you can get a better pedal with barely a bit more money and sometimes a little less money. In my opinion, for spending less than $100 for a distortion pedal, whether it is your first pedal or 700th pedal, a few more bucks will get you the MXR Badass distortion which has a much crisper tone to it.",1,Beginners Beware,1392940800,"02 21, 2014"
A2X2GEABQXRX7P,B0002CZVXM,J. Carney "Mongoose","[6, 7]",These came stock on my Jackson Kelly KEXMG. All the other guitars I own have Schaller buttons on them and I have one main strap I use for all of the guitars. I figured since the guitar came with them I would try them out. Not twenty min later I was removing them and putting Schaller buttons in their place. Here the 3 major reasons I did not like them over Schaller:1- Bulky. They stick out too far and on any guitar with a strap button on the back it jabs you in the stomach or below!2- Problems engaging. I would push them into the receiver and they pop back out. It wasn't until I forced them in while pushing the button that they went in a stayed in. Schallers click in and you know they are ready to go.3- Cheap. They just feel cheap. Thin metal is used in comparison to the Schallers; which have a very heavy and solid feel to them.For a few bucks more I'll stick with Schaller's. I have been using them for 10+ years and have never seen one fail.,1,Not as good as Schallers!,1379808000,"09 22, 2013"
A10HYGDU2NITYQ,B0002CZW0Y,GregoryEEEE,"[11, 14]",I purchased this after reading the great reviews but like a few of the comments that are on here lately this thing is not good. Looked almost used when it arrived and the gooseneck stand is useless. Does not come even close to being able to hold up the weight of the filter. I would have returned it but I completely destroyed the package getting it open (which oddly had staples holding it closed).,1,Something Funky Going On,1303171200,"04 19, 2011"
AD5G39PJUJVJ,B0002CZW0Y,James E. Sink "Jimsi777","[0, 0]","wind screen is way too big its bulky and to me useless, the screen came out, was thinking of glueing it back in but went to ebay and bought 2 metal mesh pop filters cheaper that is MUCH better...avoid this!!",1,Yuck,1368057600,"05 9, 2013"
AJBBU53A0X84I,B0002D01PY,Jerry,"[0, 2]","I got this for my Boss Loop Station, but it doesn't work very well.  I keep hoping I'll find something it DOES work well with...",1,Got this for my Boss Loop Station.,1390608000,"01 25, 2014"
A39KDVU5JAXJIF,B0002D0CAI,Harry An "Harry","[1, 3]","Long story short, this string set has a strong metallic character, which distorts the natural sound of your guitar so much. Many people might like it, but for me, absolutely Noooooooo!I have a seagull guitar, so by its nature it sounds mellow, warm and mild with stock strings. So when my strings wear out, I got this. Now I feel like playing an EMG bridge on my fender/archtop's neck position, WITHOUT the power that an EMG pickup has to offer. Yes, it is that bad, you can't do this to guitars like Seagulls...Bottom line, I recommend this string set for people looking to boost distortion on their guitar. If you have guitars like seagulls or so, definitely avoid this string.",1,I feel like playing an active EMG on my Fender guitar...,1372291200,"06 27, 2013"
A1EW1P6BB16GP6,B0002D0CKI,MojoMMjojo,"[1, 1]",another item never received but i would not use anything over .88 mm anyway was mean for experimentation i have learned since this purchase.,1,to big,1402099200,"06 7, 2014"
A91PW87FR65XH,B0002D0CQC,R. J. Province "Blade","[0, 10]","This product is not what it seems. It has a cool name, but that's about it. It's a tool oil that stinks. I tried my best to get use to this product, but learned that there are much better ways after going into the studio and recording for the 1st time. After doing away with the Fast-Fret, my playing has improved and I hardly ever have to change my string because of gook. Not to mention that getting that crap on my fingers was just nasty. I now use Old English and my guitars thank me, my nose thanks me and my fingers thank me. You will too...",1,Not For Serious Players,1330732800,"03 3, 2012"
A1B9Q3SNKI6T5V,B0002D0LKY,Dustin Kempton,"[0, 0]","It just randomly pops off my bass, it's so slick that when you let go it the neck just goes straight down. I hate it.",1,I really do hate it.,1398988800,"05 2, 2014"
A14Z9LAETO21KL,B0002D0PB4,Gutjammer,"[0, 0]","Years ago I used the Clayton &#34;small teardrop&#34; picks. I couldn't tell from the picture, that these were full size, and I didn't check the size in the description.  I still had a few of the small ones, so I used them as templates, to cut these down. I would have rated them higher, if I could have used them as is. It's my own fault for not looking at the specifications. I purchased two six packs of Clayton Teardrop picks, but found Dunlop 423R60 0.60mm (Orange) Tortex Small Tear Drop Guitar Picks, 36-Pack which are a lot cheaper.",1,"I had been using 1.5 mm picks, but needed teardrop picks, for shredding",1404000000,"06 29, 2014"
A1TJ393OFP21I8,B0002DV7U2,Clam Canoe,"[0, 1]","Total flimsy junk. It leans WAYYY too far back. I'll be damned if I put my $1000 guitars on these things. On the other hand, ChromaCast makes one that's very close to this price, and I doubt that it could have been more for the money I paid.In summary... DO NOT BUY THIS PIECE OF JUNK.",1,Terrible. I wouldn't trust even a beater guitar on this stand. No way. Forget it.,1386547200,"12 9, 2013"
A1OV2BH2S11KBA,B0002DV7U2,jsnchmpn,"[1, 2]","...for something, but not a guitar.  Wasn't sure what to do with it so I now use it to mount a large cookbook, or notepad computer, so I can follow a recipe.  It seems to work okay for that.  Just don't use this for guitars.  An electric guitar will slide out and fall because it leans back too far, and the arms have no grip.  This thing was obviously created by a monkey in some closed door creative testing experimental project.  It may even give you AIDS!  But probably not.  However, animals could have been harmed in the making.  But most likely, and in reality, it will not hold your guitar in a safe manner.",1,Great Mount!,1389225600,"01 9, 2014"
A35HTG0YUEKFGM,B0002E1O2M,Tony Wall,"[0, 1]",I bought a set as they were recommended to get the tone I was looking for on my 7 week old guitar. Installed as usual and tuned them. They sounded good when played open but compressing them was nearly impossible. My capo could not even hold them. I set the guitar aside for a few minutes and heard the wood creaking. When I looked the face of the guitar was bowing up and the bridge was pulling up and back as if they were trying to pry it off. I released the tension on all the strings as fast as I could and left it. I returned them and got some lighter ones but to no avail. The body is cracked around the bridge and it is useless now. Use at your own risk!!!!!!! I personally wouldn't give a nickel for them.,1,destroyed my guitar,1397952000,"04 20, 2014"
A1O3P80RRDUV5P,B0002E2KPC,M. Henry,"[0, 0]","This is an update to my original review because I have now fully tested two of these capos.  I'm truly surprised by all the good reviews here.  I'm not sure how it's possible.  I've already outlined below in my original review that these are not Jim Dunlop capos.  I had purchased two, which I have now given away to student players as I cannot use them.  I tested the capos on a standard acoustic and also an electric guitar.  The E string buzzes when the capo is applied and no amount of adjusting the capo would stop the buzz from occurring. Both capos had this very same problem.When I received these capos, I noticed right away that they were not the same excellent quality as actual Jim Dunlop capos.  The craftsmanship was visibly lower quality and the materials used are a lesser quality than official Jim Dunlop capos.  The rubber has a strong odor and there is no brand-name printed anywhere on the product.  As a professional musician, I need to purchase reputable brand-name products because I can't afford to have my gear failing during performances.  I have no idea about the future performance of these capos because they have no apparent brand, and no measurable reputation.  When I contacted the seller, they were not honest with me.",1,These Capos are not made by the Jim Dunlop company,1397606400,"04 16, 2014"
A1LCG14GZJI5LO,B0002E2Z8Y,Andrew M.,"[0, 8]","I know many people love the design, but I find it much too frustrating. You have to be very careful putting it on the fret correctly, then snap it in, then turn and turn the screw, oops don't let it snap off again and fall off while trying to turn the screw. Then you have to go through the whole routine again to take it off and move it to another fret and put it on again. What a farce. This is the worst capo I've owned, and I've tried nearly every brand and type. Yeah, I've had people show me how to do it right, and I know to do it right. It's just wrong to have to spend so much time slipping it on, snapping it, screwing it in, screwing it off, having it fall off, forget it, it's garbage to me. Also, while I'm getting my callouses worked out playing for two hours every day, the last thing I want is to pinch my fingers against metal trying to turn a screw. It's actually slightly painful to the fingers (momentarily, but why have to deal with that??) to work with. This design seems like it was a non guitar player who came up with it. The only good thing I can say about it is looks durable.No thanks.",1,Worst capo I've ever used,1328832000,"02 10, 2012"
A2Y4PRG2HHOL3G,B0002E37MM,'brother' Bill,"[0, 0]","I bought this hoping to use as intended, angled into guitar & straight into mixer, wrong, have to use it the other way around ... sad!",1,180 degrees out,1383177600,"10 31, 2013"
A36OSNJ4YJSGEP,B0002E37MM,djinx,"[0, 0]",Only Lasted 2yr.  I have a lot of cheaper cables that get more use/abuse than this one that have outlasted it.,1,Very Disappointed!!!,1295654400,"01 22, 2011"
A2DKLC2FJTY9OI,B0002E3B78,J English,"[1, 1]",Could not get to fit small sound hole. Once in sound hole pickup did not work at all. Would not buy it.,1,Does not work,1357171200,"01 3, 2013"
